"グループ","画面・機能","URL","コントローラ","使える人（権限）","実装状況","何をするもの","表示データの出どころ","保存先（テーブル／カラム）","入力チェック","未実装・モック・注意"
"案件","案件登録・編集","/project-form","ProjectController@form/store/destroy","社員以上（削除も社員以上）","本物","案件を1件ずつ登録・編集。削除は関連ごと","projects／営業候補=people／基準日=AssignMtg","projects各カラム（content_ids等）。ID=P-YYYY-NNNN発番","start_date=date。必須3点（案件名/開催日/運営人数）はフロントで担保","director_id/goods_owner_id/site_category/準備チェック/スタッフ公開時間はフォームで未保存（別画面）"
"案件","案件CSV一括取込","/project-import","ProjectController@import","社員以上","本物","案件をCSVで一括登録","CSVファイル","projects（status=未着手・staff_published=false）。director/goods名は→ID解決して保存","案件名必須・開催日YYYY-MM-DD実在・運営人数1以上","列順は入替可（見出し名一致）。サンプルは登録されない。ARENAは手入力推奨"
"案件","CSV取込ハブ","/imports","MasterImportController@hub","管理者以上","本物","名簿・コンテンツ・案件の取込入口（静的カード）","静的","なし","tier:manager"
"案件","名簿CSV取込","/person-import","PersonImportController@show/import","管理者以上","本物","社員・スタッフを一括登録","CSVファイル","people（ID=E-###/S-###発番・permission=種別から・active=true・PWなし）","種別・氏名必須／メール形式＋重複／入社日実在／通算は数字","『できるポジション』取込は次段（未実装）"
"案件","コンテンツCSV取込","/content-import","MasterImportController@importContent","管理者以上","本物","コンテンツを一括登録","CSVファイル","contents（id=CT-###発番・needs_paper/is_physical/active・sheets_per_team空なら1）","コンテンツ名必須・重複NG・枚数は≥1","拠点CSVは提供しない（マスタ管理で手入力）"
"アサイン","アサイン表","/assign-sheet","AssignSheetController@index","社員以上","本物（見るだけ）","月別に案件＋メンバーを縦カードで一覧","projects／assignments（非キャンセル）","なし","月選択・検索・不足のみ絞り込み。director_idありでD行が無ければ補完。閲覧専用"
"アサイン","アサインダッシュボード","/assign-dashboard","AssignDashboardController@index","社員以上","本物（CSV出力は未実装）","募集中・要アサイン・要注意スタッフ等のまとめ","projects／assignments／StaffStatusController","なし","対象月2026-07ハードコード。要案件行クリックで日別ボードへ。CSV出力（仮）はalertのみ"
"アサイン","日別ボード","/assign","AssignBoardController@assign","社員以上","一部見本","今日から3週間の日別割り当てを見る","projects／assignments／shift_preferences","ポジション変更のみ本物（/entries/assign）","自動アサイン・確定・公開・追加・除外は保存されない見本。ポジション充足ランプ未接続（pos=[]）。月20件上限=警告"
"アサイン","アサイン画面（案件詳細）","/assign-detail","AssignDetailController@show","社員以上","一部見本","提案チーム＋代替候補を表示・編成バランス確認","projects／assignments／applications／稼働率","なし（公開状態はlocalStorage）","自動提案スコア未実装＝暫定（通算回数）。チーム編集・確定・公開は未保存。案件無しは見本にフォールバック"
"アサイン","手動アサインの保存","/project-assign","AssignmentController@show/save","社員以上","本物","案件×日でスタッフ割り当てをDB保存","projects／people（可否・NG）／shift_preferences／content_role_requirements","assignments（案件×日を上書き）","project_id必須・status in仮/確定・開催日必須","ダブルブッキング/NGペア/月20件超/人数不一致は警告のみ（保存可）。assigned_by=null・score未書込"
"アサイン","エントリーからの切替","/entries/assign","AssignmentController@quickToggle","社員以上","本物","1セルを未→仮→確定に即保存","-","assignments","project_id/staff_id必須・action in assign/unassign・開催日必須(422)","確定＋公開済みの解除は確認。unassign時applicationsは残す"
"アサイン","D決め（ディレクター）","/assign-director","AssignDirectorController@index/save","社員以上","本物","案件ごとのD/SD/FCを社員から決定","people（社員）／assignments／projects","assignments（role=D/SD/FC・whereDate照合・外れたら削除）","dir/sd/fcの型チェック・status常に仮","月切替ボタンはモック（alert）。表示月は案件最多月を自動。開催日なしはスキップ。assigned_by=null"
"アサイン","社員の出勤可能日","/employee-availability","EmployeeAvailabilityController@index/save","社員以上","本物（自分判定は暫定）","社員が出勤できる日を月別に申告","people（社員）／shift_preferences","shift_preferences（updateOrCreate staff_id+date）","employee_id/period必須・社員実在・不正日付スキップ","『自分＝先頭社員』の仮運用（認証未接続）。祝日・大型日はビュー内モック"
"アサイン","エントリー一覧","/entries","AssignBoardController@entries","社員以上","一部見本","案件ごと／月ごとで応募者を確認・切替","projects／applications／assignments","マス保存＝/entries/assign（本物）","募集状態判定はビュー側の簡易ルール（厳密な締切ではない）。空時はcases.jsフォールバック"
"アサイン","ピックアップ","/pickup","AssignBoardController@pickup","社員以上","一部見本","複数案件のメンバー・希望者を見比べる","projects／applications／assignments／shift_preferences","なし（＋追加/×外すは保存されない）","案件・候補者・稼働可は本物。編集は未保存。『モックです』注記は旧表現"
"アサイン","スタッフ集計（希望まとめ）","/assign-wishlist","AssignWishlistController@index","社員以上","本物（見るだけ）","希望者を希望日数・アサイン割合・できる役割で集計","shift_preferences／assignments／staff_role_eligibility","なし","別ウィンドウ。対象月2026-07ハードコード。区分はexperience_count基準（他画面と異なる）"
"アサイン","クライアント別アサイン履歴","/assign-history","AssignHistoryController@index/lookup","社員以上","本物（見るだけ）","お客様ごとの常連スタッフ・過去案件の顔ぶれ","assignments（非キャンセル）／projects／people／contents","なし","lookupは案件登録フォームが呼ぶAJAX（リピート判定＋直近5件）。キャンセルは数えない"
"アサイン","スタッフ公開ボード","/assign-publish","AssignPublishController@index＋各POST","社員以上","本物（備考のみ未DB化）","案件の公開ON/OFF・時間・お知らせ・締切・追加バッジを設定","projects／Setting","projects.staff_published／staff_meet_time・leave_time／category・extra_published_at／Setting(staff_notice・entry_deadline)","ids必須・boolean・日付nullable等","公開等は本物。『💬備考』のみlocalStorage（共有されない）。締切表示計算はStaffPortalController側"
"その他","謎解きの紙 在庫","/paper-stock","PaperStockController@index/updateReceipts","社員以上","本物","紙の必要数・消費数・在庫を自動集計","contents(needs_paper)／projects／content_paper_stocks","content_paper_stocks.received_count（入庫数のみ手入力）","入庫数=max(0,int)","必要数=ceil(チーム数)×枚数。チーム数未入力は客数÷6推定。オンライン・下書きは除外"
"通知","人数確定リマインド","/count-reminder","CountDeadlineReminderController@index/send","社員以上","本物（送信は鍵次第）","開催2週間前案件を営業＋Dへチャットワーク通知","projects／assignments／Chatwork API","count_deadline_reminder_logs（本番送信成功時のみ）","mode必須 in dry/test/live","dry→test→liveの順推奨。対象=14日以内・未開催・本番のみ。同案件は再送しない（testは記録しない）。祝日未対応"
"集計","社員・ディレクター集計","/projects-agg","ProjectsAggController@index","社員以上","本物","社員ごとのD/SD担当回数を実施形態・規模別に集計","assignments(role=D/SD)／projects／people","なし","別ウィンドウ。下書き除外・キャンセル除く・複数日は1回。累計固定（月ナビなし）"
"管理","スタッフ名簿・稼働状況","/staff","PersonController@staff／StaffStatusController","社員以上","本物（本人プロフィール欄はモック）","スタッフ名簿と稼働状況（稼働率・連勤・選ばれ率等）","Person::staff／staff_role_eligibility／staff_relations／shift_preferences／assignments","保存は/staff/{id}/edit","対象月2026-07固定。cap20は上限目安（分母でない）。区分基準が名簿=在籍年数/稼働=通算回数でブレ。招待・CSV出力は未実装"
"管理","スタッフ編集（詳細パネル）","/staff/{id}/edit","PersonController@staffUpdate","社員以上","本物","できる役割・NGペア・専属・人柄・メモを保存","-","staff_role_eligibility（OP/MC/SPのみ範囲更新）／staff_relations（NG全入替）／people（is_exclusive・人柄3・planner_impression）","positions[]・ng max2000・impression max1000","本人プロフィール欄（アピール・好き嫌い・得意苦手）はこの保存では未接続"
"管理","社員名簿","/employees","PersonController@employees／saveExperience","社員以上","本物","社員名簿と経験コンテンツの保存","Person::employees／contents(active)","people.experienced_contents／director_contents","id必須・exp/dexp各max100","経験2種のみ保存可。『＋社員を追加』→/register（見た目のみ）。サイズ等編集は未実装"
"管理","アカウント発行","/account-new","AccountController@create/store","管理者以上","本物","アカウントを1人ずつ発行（仮PW＋初回設定要求）","canGrantAdmin判定","people（ID発番・password hashed・must_onboard=true・active=true）","role/name/email(unique)/permission等・整合チェック","Administrator付与はadminのみ（Rule::inが本当の防御）。メール自動送信なし（画面表示で手渡し）"
"管理","Administratorコンソール","/admin-console","AdminConsoleController@index/updatePermission","Administratorのみ","本物","社員の権限を昇格・降格","Person::employees／admin人数","people.permission","id exists・permission in employee/manager/admin","自分のadmin剥奪不可・最後のadmin降格不可・スタッフは対象外"
"管理","共通設定","/settings","SettingsController@index/saveMtgDates","社員以上","本物（拠点件数は暫定）","マスタ件数表示とアサインMTG日（複数）の管理","people.office集計／Content::count／AssignMtg","settings(assign_mtg_dates)","dates present array・各date","基準日＝今日以前で最新のMTG日を自動。拠点件数はoffices表でなくpeople.office集計（ずれる可能性）"
"管理","マスタ管理","/masters","MasterController各アクション","社員以上（削除はAdministrator）","本物","コンテンツ・拠点・規模別必要人数の管理","contents／offices／AssignmentRole","contents／content_role_requirements／offices","content_name必須・枚数1-99・office name必須等","削除2本のみtier:admin。ポジションは表示のみ（編集不可）"
"仕組み","ログイン基盤（Fortify＋2段階）","-","FortifyServiceProvider／OtpController","-","本物","people名簿で認証・メールOTPで2段階","people","-","-","2段階はFortify標準でなく独自実装。usersテーブルは未使用"
"仕組み","権限4段階","-","EnsureTier","-","本物","スタッフ/社員/管理者/Administratorで画面と操作を出し分け","people.permission","-","-","不足時スタッフは/staff-portalへ・社員以上のadmin専用操作は403"
"仕組み","テストログイン（DB不要）","-","TestAccounts","-","本物（本番前OFF）","test系の固定アカウントでDBを見ずログイン","-","-","-","本番前にECS_TEST_LOGIN=false。2FA対象外・DB保存されない"
"土台（自動アサイン）","スコア列","-","-","-","土台のみ","割り当てに自動提案スコアを入れる列を用意","-","assignments.score","-","現状は書き込みなし。自動提案アルゴリズム自体が未実装"
"土台（自動アサイン）","経験の自動集計","-","-","-","土台のみ","コンテンツ・役割ごとの経験回数を貯める器","-","staff_content_experience／staff_role_experience","-","本格集計は未接続"
"土台（自動アサイン）","スキルによる絞り込み","-","-","-","土台のみ","防災士・救命講習などのスキル管理の器","-","skills／staff_skills","-","画面・ロジックは未接続"
"土台（自動アサイン）","ポジション必要人数の雛型","-","MasterController@contentReqs","社員以上","本物（数値は仮）","コンテンツ×規模×役割の必要人数から枠を出す","content_role_requirements","content_role_requirements","人数0-99","シードの数値はデモ用の仮値"
