"順番","画面","URL","いつ使う","使い方の手順","主なボタン・入力欄の意味","注意点"
"15","エントリー一覧","/entries","応募者をさばく","①タブ『案件ごと/月ごと』②絞り込み③月ごと表のマスをクリックで未→仮→確定","〇=応募/仮/✓確定/🔒確定＋公開／×=外す","確定＋公開済みを外すときは確認。確定マスの本体クリックは無反応（誤解除防止）"
"16","アサイン表・ダッシュボード","/assign-sheet ・ /assign-dashboard","全体の埋まり具合を見る","①アサイン表は月を選び案件とメンバーを一覧②ダッシュボードは要案件・要注意スタッフを確認","要案件行クリック＝日別ボードへ／要注意スタッフ＝連勤・低稼働・ご無沙汰等","基本は見るだけ。対象月は今2026-07固定。CSV出力（仮）は未実装"
"17","スタッフ公開ボード","/assign-publish","アサインをスタッフに知らせる","①お知らせ文を保存②通常案件の締切日を保存③案件ごとに公開/取消④追加案件は『＋追加』","公開ON＝スタッフ画面に出る／集合・解散（スタッフ）／追加バッジ／👁スタッフ画面を見る","公開ONかつ本人が割り当て済みの案件だけスタッフに見える。締切は通常=一斉/追加=公開日+3日（土日は月曜）。備考はこのブラウザのみ"
"18","人数確定リマインド","/count-reminder","開催2週間前の人数確認を促す","①『件数だけ確認』で対象を見る②『テスト送信』で文面確認③問題なければ『本番送信』","dry=送らず件数／test=テスト部屋／live=本番部屋","本番送信は鍵（トークン）とルームIDが要る。対象=14日以内・未開催・本番。同案件は再送しない"
"19","謎解きの紙 在庫","/paper-stock","紙の在庫を管理","①一覧で必要数・消費数・在庫を確認②入庫した枚数を手入力③『入庫数を保存』④過不足が赤なら追加印刷","必要数(今後)／消費数(開催済み)／在庫=入庫-消費／過不足=在庫-必要","必要数・消費数は自動計算。入力するのは入庫数だけ。対象は『紙』チェックのコンテンツ。オンライン・下書きは除外"
"20","スタッフ名簿・編集","/staff","スタッフの条件を整える・稼働を見る","①タブ『名簿/稼働状況』②詳細▾を開く③できる役割・NGペア・専属・人柄・メモを直す④『保存する』","NGペア=一緒にしない組合せ／専属=自社専属／稼働率=アサイン÷希望","本人プロフィール欄は読むだけ（サンプル）。招待・CSV出力は未実装。cap20は上限目安"
"21","社員名簿","/employees","社員の経験コンテンツを管理","①詳細▾を開く②経験コンテンツ・Dの経験を追加/削除③『経験コンテンツを保存』","経験のあるコンテンツ／Dの経験があるコンテンツ（緑タグ）","保存できるのは経験2種のみ。社員追加・サイズ編集は未実装"
"22","共通設定","/settings","アサインMTGの日を登録","①『MTG日を追加』で日付を足す②必要な日付をすべて入れる③『この予定表を保存する』","MTG日＝この日以降の案件を『追加案件』と判定する基準","『追加』だけでは保存されない。一番新しいMTG日が自動基準。拠点件数は暫定表示"
"23","マスタ管理","/masters","選択肢の元データを整える","①コンテンツ/拠点/ポジションのセクションで編集②新規行から追加③『すべて保存』","紙チェック＝謎解きシート要否／枚/組／有効／必要人数ボタン／▲▼並び替え","削除はAdministratorのみ。ポジションは表示のみ（編集不可）。追加・編集は社員以上"
"24","Administratorコンソール","/admin-console","社員の権限を変える","①権限の変更表で対象を選ぶ②プルダウンで新権限③『保存』","権限プルダウン＝社員/管理者/Administrator","Administratorのときだけ表示。自分のadminは外せない・最後のadminは降格できない"
"25","マイページ・収支入力","/mypage ・ /mypage-finance","自分の担当と収支を見る","①月で絞る②担当案件を確認・カレンダー登録③収支は売上と経費を入れて保存","💰収支入力／📅登録＝Googleカレンダーへ","今は『自分=baba』固定。通知設定・収支保存はこのブラウザのみ（本保存はMTG後）"
